heuristic,workload,configuration,metsla,sla,predict
RR,400,4_c3_2xlarge,true,100000,true
RR,400,3_m3_2xlarge,true,100000,true
RR,400,4_m3_2xlarge,true,100000,true
RR,500,1_m3_medium,false,100000,false
RR,500,1_c3_large,true,100000,true
RR,500,1_m3_large,true,100000,true
RR,500,2_m3_medium,true,100000,true
RR,500,2_c3_large,true,100000,true
RR,500,1_c3_xlarge,true,100000,true
RR,500,3_m3_medium,true,100000,true
RR,500,2_m3_large,true,100000,true
RR,500,1_m3_xlarge,true,100000,true
RR,500,4_m3_medium,true,100000,true
RR,500,3_c3_large,true,100000,true
RR,500,2_c3_xlarge,true,100000,true
RR,500,3_m3_large,true,100000,true
RR,500,1_c3_2xlarge,true,100000,true
RR,500,4_c3_large,true,100000,true
RR,500,4_m3_large,true,100000,true
RR,500,2_m3_xlarge,true,100000,true
RR,500,1_m3_2xlarge,true,100000,true
RR,500,3_c3_xlarge,true,100000,true
RR,500,4_c3_xlarge,true,100000,true
RR,500,2_c3_2xlarge,true,100000,true
RR,500,3_m3_xlarge,true,100000,true
RR,500,2_m3_2xlarge,true,100000,true
RR,500,4_m3_xlarge,true,100000,true
RR,500,3_c3_2xlarge,true,100000,true
RR,500,4_c3_2xlarge,true,100000,true
RR,500,3_m3_2xlarge,true,100000,true
RR,500,4_m3_2xlarge,true,100000,true
RR,600,1_m3_medium,false,100000,false
RR,600,1_c3_large,true,100000,false
RR,600,1_m3_large,true,100000,false
RR,600,2_m3_medium,true,100000,false
RR,600,2_c3_large,true,100000,true
RR,600,1_c3_xlarge,true,100000,true
RR,600,3_m3_medium,true,100000,true
RR,600,2_m3_large,true,100000,true
RR,600,1_m3_xlarge,true,100000,true
RR,600,4_m3_medium,true,100000,true
RR,600,3_c3_large,true,100000,true
RR,600,2_c3_xlarge,true,100000,true
RR,600,3_m3_large,true,100000,true
RR,600,1_c3_2xlarge,true,100000,true
RR,600,4_c3_large,true,100000,true
RR,600,4_m3_large,true,100000,true
RR,600,2_m3_xlarge,true,100000,true
RR,600,1_m3_2xlarge,true,100000,true
RR,600,3_c3_xlarge,true,100000,true
RR,600,4_c3_xlarge,true,100000,true
RR,600,2_c3_2xlarge,true,100000,true
RR,600,3_m3_xlarge,true,100000,true
RR,600,2_m3_2xlarge,true,100000,true
RR,600,4_m3_xlarge,true,100000,true
RR,600,3_c3_2xlarge,true,100000,true
RR,600,4_c3_2xlarge,true,100000,true
RR,600,3_m3_2xlarge,true,100000,true
RR,600,4_m3_2xlarge,true,100000,true
RR,700,1_m3_medium,false,100000,true
RR,700,1_c3_large,true,100000,false
RR,700,1_m3_large,true,100000,false
RR,700,2_m3_medium,true,100000,false
RR,700,2_c3_large,true,100000,true
RR,700,1_c3_xlarge,true,100000,true
RR,700,3_m3_medium,true,100000,true
RR,700,2_m3_large,true,100000,true
RR,700,1_m3_xlarge,true,100000,true
RR,700,4_m3_medium,true,100000,true
RR,700,3_c3_large,true,100000,true
RR,700,2_c3_xlarge,true,100000,true
RR,700,3_m3_large,true,100000,true
RR,700,1_c3_2xlarge,true,100000,true
RR,700,4_c3_large,true,100000,true
RR,700,4_m3_large,true,100000,true
RR,700,2_m3_xlarge,true,100000,true
RR,700,1_m3_2xlarge,true,100000,true
RR,700,3_c3_xlarge,true,100000,true
RR,700,4_c3_xlarge,true,100000,true
RR,700,2_c3_2xlarge,true,100000,true
RR,700,3_m3_xlarge,true,100000,true
RR,700,2_m3_2xlarge,true,100000,true
RR,700,4_m3_xlarge,true,100000,true
RR,700,3_c3_2xlarge,true,100000,true
RR,700,4_c3_2xlarge,true,100000,true
RR,700,3_m3_2xlarge,true,100000,true
RR,700,4_m3_2xlarge,true,100000,true
RR,800,1_m3_medium,false,100000,true
RR,800,1_c3_large,true,100000,true
RR,800,1_m3_large,true,100000,false
RR,800,2_m3_medium,false,100000,false
RR,800,2_c3_large,true,100000,true
RR,800,1_c3_xlarge,true,100000,true
RR,800,3_m3_medium,true,100000,true
RR,800,2_m3_large,true,100000,true
RR,800,1_m3_xlarge,true,100000,true
RR,800,4_m3_medium,true,100000,true
RR,800,3_c3_large,true,100000,true
RR,800,2_c3_xlarge,true,100000,true
RR,800,3_m3_large,true,100000,true
RR,800,1_c3_2xlarge,true,100000,true
RR,800,4_c3_large,true,100000,true
RR,800,4_m3_large,true,100000,true
RR,800,2_m3_xlarge,true,100000,true
RR,800,1_m3_2xlarge,true,100000,true
RR,800,3_c3_xlarge,true,100000,true
RR,800,4_c3_xlarge,true,100000,true
RR,800,2_c3_2xlarge,true,100000,true
RR,800,3_m3_xlarge,true,100000,true
RR,800,2_m3_2xlarge,true,100000,true
RR,800,4_m3_xlarge,true,100000,true
RR,800,3_c3_2xlarge,true,100000,true
RR,800,4_c3_2xlarge,true,100000,true
RR,800,3_m3_2xlarge,true,100000,true
RR,800,4_m3_2xlarge,true,100000,true
RR,900,1_m3_medium,false,100000,true
RR,900,1_c3_large,true,100000,false
RR,900,1_m3_large,false,100000,false
RR,900,2_m3_medium,false,100000,false
RR,900,2_c3_large,true,100000,true
RR,900,1_c3_xlarge,true,100000,true
RR,900,3_m3_medium,true,100000,true
RR,900,2_m3_large,true,100000,true
RR,900,1_m3_xlarge,true,100000,true
RR,900,4_m3_medium,true,100000,true
RR,900,3_c3_large,true,100000,true
RR,900,2_c3_xlarge,true,100000,true
RR,900,3_m3_large,true,100000,true
RR,900,1_c3_2xlarge,true,100000,true
RR,900,4_c3_large,true,100000,true
RR,900,4_m3_large,true,100000,true
RR,900,2_m3_xlarge,true,100000,true
RR,900,1_m3_2xlarge,true,100000,true
RR,900,3_c3_xlarge,true,100000,true
RR,900,4_c3_xlarge,true,100000,true
RR,900,2_c3_2xlarge,true,100000,true
RR,900,3_m3_xlarge,true,100000,true
RR,900,2_m3_2xlarge,true,100000,true
RR,900,4_m3_xlarge,true,100000,true
RR,900,3_c3_2xlarge,true,100000,true
RR,900,4_c3_2xlarge,true,100000,true
RR,900,3_m3_2xlarge,true,100000,true
RR,900,4_m3_2xlarge,true,100000,true
RR,1000,1_m3_medium,false,100000,true
RR,1000,1_c3_large,false,100000,false
RR,1000,1_m3_large,false,100000,false
RR,1000,2_m3_medium,false,100000,false
RR,1000,2_c3_large,true,100000,false
RR,1000,1_c3_xlarge,true,100000,false
RR,1000,3_m3_medium,true,100000,false
RR,1000,2_m3_large,true,100000,false
RR,1000,1_m3_xlarge,true,100000,false
RR,1000,4_m3_medium,true,100000,false
RR,1000,3_c3_large,true,100000,true
RR,1000,2_c3_xlarge,true,100000,true
RR,1000,3_m3_large,true,100000,false
RR,1000,1_c3_2xlarge,true,100000,true
RR,1000,4_c3_large,true,100000,true
RR,1000,4_m3_large,true,100000,true
RR,1000,2_m3_xlarge,true,100000,false
RR,1000,1_m3_2xlarge,true,100000,false
RR,1000,3_c3_xlarge,true,100000,true
RR,1000,4_c3_xlarge,true,100000,true
RR,1000,2_c3_2xlarge,true,100000,true
RR,1000,3_m3_xlarge,true,100000,true
RR,1000,2_m3_2xlarge,true,100000,true
RR,1000,4_m3_xlarge,true,100000,true
RR,1000,3_c3_2xlarge,true,100000,true
RR,1000,4_c3_2xlarge,true,100000,true
RR,1000,3_m3_2xlarge,true,100000,true
RR,1000,4_m3_2xlarge,true,100000,true
